file,line,column,rule,severity,message
packages/core/src/plugins/sources.ts,23,34,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/plugins/sources.ts,24,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/plugins/sources.ts,27,26,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/plugins/sources.ts,29,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/plugins/sources.ts,32,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/plugins/sources.ts,35,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/plugins/types.ts,115,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/skills.ts,24,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/skills.ts,31,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/skills.ts,367,39,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/skills.ts,368,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/skills.ts,82,26,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/skills.ts,83,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/bash.ts,72,35,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/bash.ts,73,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/bash.ts,79,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/bash.ts,85,41,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/edit.ts,100,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/edit.ts,103,29,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/edit.ts,106,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/edit.ts,107,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/edit.ts,111,32,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/edit.ts,71,30,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/edit.ts,72,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/edit.ts,89,35,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/edit.ts,90,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/edit.ts,96,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/edit.ts,99,31,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/ls.ts,79,33,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/ls.ts,80,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/ls.ts,84,38,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/ls.ts,90,39,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/read.ts,63,35,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/read.ts,64,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/read.ts,70,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/read.ts,76,40,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/read.ts,82,39,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/support/file-mutation-queue.ts,17,36,anti-slop(no-unknown-parameters),error,Parameter `error` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/support/file-mutation-queue.ts,19,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/write.ts,48,36,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/tools/write.ts,49,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/write.ts,55,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/tools/write.ts,61,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/types.ts,275,35,anti-slop(no-unknown-parameters),error,Parameter `error` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/types.ts,277,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/workspace-registry.ts,29,34,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/workspace-registry.ts,30,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/workspace-registry.ts,33,37,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/workspace-registry.ts,34,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/workspace-registry.ts,38,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/workspace-trust.ts,39,31,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/core/src/workspace-trust.ts,40,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/src/workspace-trust.ts,44,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/test/kernel/step.test.ts,37,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/core/test/kernel/step.test.ts,41,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/desktop/src/renderer/src/chrome/sidebar-view.ts,217,51,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/desktop/src/renderer/src/conversation/composer.tsx,230,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/desktop/src/renderer/src/conversation/transcript-presentation.ts,102,31,anti-slop(no-unknown-parameters),error,Parameter `value` leaves input unparsed. Accept a named domain type; run the expected schema or parser at the I/O boundary before calling this function.
packages/desktop/src/renderer/src/conversation/transcript-presentation.ts,103,7,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/desktop/src/renderer/src/conversation/transcript-presentation.ts,104,29,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/desktop/src/renderer/src/startup-preference.ts,19,12,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/tui/src/json.ts,11,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/tui/src/json.ts,20,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/tui/src/json.ts,7,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/tui/src/settings.ts,85,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/tui/src/settings.ts,89,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/tui/src/settings.ts,93,10,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
packages/tui/src/update.ts,142,5,anti-slop(no-runtime-typeof),error,"A `typeof` check narrows a representation without establishing its contract. Parse input at its I/O boundary, then branch on the domain value."
